11487,30671,4377,153,2991,416276,28,132,7203
11488,36236,3526,162,5737,741679,33,212,2822
11489,35395,1368,127,4351,495597,28,203,2203
11490,32391,1928,152,3186,421065,28,131,2878
11491,34507,1251,155,3872,412623,25,181,2071
11492,31664,2456,148,3765,456284,33,150,1938
11493,27661,2086,150,2375,271744,25,101,1577
11494,31260,1805,140,4871,532823,33,256,1741
11495,33617,1405,153,4001,503794,34,213,1975
11496,33283,1219,186,2828,368302,28,180,2533
11497,37169,3919,169,5565,641585,31,293,6942
11498,37074,1479,201,5013,608810,30,291,2932
11499,35905,3587,186,4570,535530,29,229,2475
11500,37277,6126,173,4880,565201,32,187,8371
11501,36991,4658,179,5237,630949,33,242,10596
11502,45316,2696,277,5807,685572,31,444,4120
11503,40084,4970,222,7952,951718,39,264,9378
11504,41572,1705,211,8232,1033358,37,369,3353
11505,42732,4210,216,6159,721348,40,368,9899
11506,32251,4134,189,5682,674174,35,187,8716
11507,32571,7387,134,4321,491442,33,230,9534
11508,33801,4487,172,5285,603850,30,159,3306
11509,35361,4409,185,6860,808567,29,244,4171
11510,32406,3596,133,4152,465120,26,137,8111
11511,35635,3499,144,3646,414541,32,302,3164
11512,32072,6334,142,4485,491259,30,179,6439
11513,31285,2777,128,4506,519382,36,158,2459
11514,33398,9578,143,4517,482831,36,137,7983
11515,38233,4279,140,4889,584131,35,305,3318
11516,35525,4059,127,3455,405425,26,236,6400
11517,33916,6347,123,4145,441096,27,219,6864
11518,43071,4256,129,4595,453359,27,237,8140
11519,43030,10670,128,4368,482479,27,212,7834
11520,34435,4054,135,4079,432037,23,162,6487
11521,31146,2283,125,3134,341893,31,196,2936
11522,32789,2183,132,4008,452656,26,196,2513
11523,36775,4995,171,6166,725890,33,340,7357
11524,39902,3781,178,5362,637764,23,355,8283
11525,35218,5830,118,6015,723926,32,293,6895
11526,38063,2733,149,6538,823219,35,266,2852
11527,40546,5146,168,5404,653804,29,334,7196
11528,29299,2204,134,3567,401921,31,94,3100
11529,39895,5823,194,6497,766885,33,422,8940
11530,36452,3867,157,4214,534295,30,341,7010
11531,37466,4044,159,3633,402907,29,316,7363
11532,44653,3970,171,4762,513356,32,428,3406
11533,39048,6440,152,4901,526142,26,326,8272
11534,45732,6984,182,7204,823916,34,439,7414
11535,49205,2524,189,7126,829839,35,603,3386
11536,33376,7613,149,4740,513261,30,227,6460
11537,33257,8688,168,3717,438918,25,202,8671
11538,36905,5691,155,5246,587885,29,233,7729
11539,40476,3007,170,4544,511574,30,335,3209
11540,36345,4941,150,3525,382023,26,219,8017
11541,37172,4535,160,4399,528394,30,131,7171
11542,43016,5717,159,3520,440477,34,260,7505
11543,47984,4455,180,6780,757209,45,387,8317
11544,39233,3573,199,3468,415615,29,210,8528
11545,36039,4325,135,3790,463313,28,164,2695
11546,37062,2953,169,5367,640588,33,421,7767
11547,40497,4567,113,3710,394001,28,279,7966
11548,42624,2140,181,7002,822157,34,350,2871
11549,39279,7373,224,6008,749278,33,413,6821
11550,36366,2294,138,4908,553071,26,254,2842
11551,37758,6096,154,5542,624166,26,193,7511
